"condition1","trialNo","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality"
"abnormal",9,4.66666666666667,4.31818181818182,0.832050294337844,0.945483682534709,27,22,0.160128153805087,0.20157779841894
"abnormal",10,4.5,4,0.860232526704263,0.973328526784575,26,20,0.168705478457395,0.217642875033003
"abnormal",11,3.92592592592593,4,1.32798070902132,1.30930734141595,27,22,0.255570006610696,0.279145263119541
"abnormal",12,4.28,3.45454545454545,1.02143689640297,1.14339814035152,25,22,0.204287379280594,0.243773302602616
"abnormal",25,4.67857142857143,3.81818181818182,0.611832186419303,0.957992128229099,28,22,0.115625414955027,0.20424460800148
"abnormal",26,4.55555555555556,4.09090909090909,0.974021534011414,0.971454035826165,27,22,0.187450531619327,0.207114696344687
"abnormal",27,3.71428571428571,2.86363636363636,1.51185789203691,1.52113536999598,28,22,0.285714285714286,0.324307150557
"abnormal",28,4.62962962962963,4,0.629294363562392,0.816496580927726,27,22,0.121107756734087,0.174077655955698
"abnormal",41,4.81481481481481,4.5,0.681459803941116,0.672592709134549,27,22,0.131147000415771,0.143397247403047
"abnormal",42,4.26923076923077,3.86363636363636,0.87442288660315,1.12527053024318,26,22,0.171488436996984,0.239908483141703
"abnormal",43,4.82608695652174,3.89473684210526,0.650326764931116,1.24252148839479,23,19,0.135602504335245,0.285053979110034
"abnormal",44,4.74074074074074,4.28571428571429,0.712125345092075,1.10194633003868,27,21,0.137048586561888,0.240464403294335
"abnormal",57,4.88888888888889,4.45454545454545,0.577350269189626,0.800432783369497,27,22,0.111111111111111,0.170652842808892
"abnormal",58,4.59259259259259,4.40909090909091,0.747264717757073,0.590326052690247,27,22,0.143811161984319,0.125857937316941
"abnormal",59,4.48148148148148,4.22727272727273,0.848998068783269,1.10977553207923,27,22,0.163389754517831,0.23660493843322
"abnormal",60,4.48148148148148,4.04545454545455,0.935223970310789,0.998917162649385,27,22,0.179983937003841,0.212969854656763
"abnormal",73,3.80952380952381,2.83333333333333,1.63153448075876,1.50489397711365,21,18,0.356030012238452,0.354706912061285
"abnormal",74,3.56521739130435,2.15,1.59048554497509,1.34848843251679,23,20,0.331639161476728,0.301531180197967
"abnormal",75,4.1304347826087,3.22222222222222,1.60409554878887,1.62898581063244,23,18,0.334477043447273,0.383955637718288
"abnormal",76,4.09090909090909,2.5,1.30599682450904,1.7013926184468,22,20,0.278439458543481,0.380442955126341
"abnormal",89,4.76923076923077,4.13636363636364,0.651625187216842,1.08212553384331,26,22,0.127794213275663,0.230709939002091
"abnormal",90,4.88888888888889,4.68181818181818,0.320256307610174,0.476731294622796,27,22,0.0616333551361366,0.101639453522718
"abnormal",91,4.64285714285714,3.7,0.62148482382387,1.34164078649987,28,20,0.117449591959911,0.3
"abnormal",92,4.5,3.86363636363636,0.793492047615872,1.03718733879544,28,22,0.149955901807073,0.221129083626158
"abnormal",105,4.25,3.63636363636364,0.927960727138337,0.902137912878521,28,22,0.17536809360305,0.192336449277256
"abnormal",106,4.42857142857143,3.90909090909091,0.835710894037345,1.23091490979333,28,22,0.157934513826448,0.262431940540739
"abnormal",107,3.84615384615385,2.86363636363636,1.15558842819778,1.67034226733424,26,22,0.226629536348557,0.356118167954715
"abnormal",108,3.67857142857143,3.31818181818182,1.33482059908665,1.46014883900054,28,22,0.252257382147823,0.311304778460729
"abnormal",121,4.57142857142857,3.72727272727273,0.835710894037345,1.03195691040618,28,22,0.157934513826448,0.22001395254672
"abnormal",122,4.18518518518519,3.04545454545455,0.921413505980268,1.04550159879055,27,22,0.177326111904221,0.222901689813081
"abnormal",123,4.57142857142857,4.09090909090909,0.87891226666077,1.30599682450904,28,22,0.166098805844892,0.278439458543481
"abnormal",124,4.33333333333333,2.90909090909091,0.733799385705343,1.23091490979333,27,22,0.141219757622721,0.262431940540739
"immoral",13,4.85185185185185,5,0.601517549056852,0,27,22,0.115762106290086,0
"immoral",14,4.88888888888889,5,0.423659272868162,0,27,22,0.0815332650783714,0
"immoral",15,4.92307692307692,5,0.271746488194703,0,26,22,0.0532938710021193,0
"immoral",16,4.88,4.95238095238095,0.6,0.218217890235992,25,21,0.12,0.0476190476190476
"immoral",29,4.76923076923077,4.90909090909091,0.815239464584109,0.426401432711221,26,22,0.159881613006358,0.0909090909090909
"immoral",30,4.85185185185185,4.68181818181818,0.601517549056852,0.945483682534709,27,22,0.115762106290086,0.20157779841894
"immoral",31,4.88888888888889,4.95454545454545,0.320256307610174,0.21320071635561,27,22,0.0616333551361366,0.0454545454545455
"immoral",32,4.875,5,0.612372435695794,0,24,22,0.125,0
"immoral",45,4.77777777777778,4.81818181818182,0.800640769025436,0.394771016975861,27,22,0.154083387840341,0.0841654636156865
"immoral",46,4.88888888888889,5,0.423659272868162,0,27,21,0.0815332650783714,0
"immoral",47,4.81481481481481,5,0.681459803941116,0,27,22,0.131147000415771,0
"immoral",48,4.66666666666667,4.5,0.832050294337844,0.912870929175277,27,22,0.160128153805087,0.194624736040381
"immoral",61,4.46153846153846,4.27272727272727,0.90468864172241,0.984731927834662,26,22,0.177424039918012,0.209945552432591
"immoral",62,4.85185185185185,4.90909090909091,0.601517549056852,0.29424494316825,27,22,0.115762106290086,0.0627332326674867
"immoral",63,4.77777777777778,4.95454545454545,0.800640769025436,0.21320071635561,27,22,0.154083387840341,0.0454545454545455
"immoral",64,4.92307692307692,5,0.392232270276368,0,26,22,0.0769230769230769,0
"immoral",77,4.80769230769231,5,0.69392972377501,0,26,22,0.136090815484263,0
"immoral",78,4.85714285714286,4.86363636363636,0.590936840285279,0.639602149066831,28,22,0.111676565710082,0.136363636363636
"immoral",79,4.73076923076923,4.76190476190476,0.961569230276939,0.768424485864545,26,21,0.188579241109712,0.167683970111038
"immoral",80,4.75,4.42857142857143,0.737209780774486,1.247855302967,24,21,0.150482316357212,0.272304351533253
"immoral",93,4.90909090909091,5,0.29424494316825,0,22,21,0.0627332326674867,0
"immoral",94,4.81481481481481,5,0.681459803941116,0,27,22,0.131147000415771,0
"immoral",95,4.77777777777778,5,0.697982440452113,0,27,22,0.134326783294886,0
"immoral",96,4.88,5,0.6,0,25,22,0.12,0
"immoral",109,4.84,4.9,0.553774924194538,0.447213595499958,25,20,0.110754984838908,0.1
"immoral",110,4.61538461538461,4.59090909090909,0.8038369524685,0.959121170610586,26,22,0.157645396399378,0.204485320646008
"immoral",111,4.56,4.86363636363636,0.869865890046659,0.351250086657104,25,22,0.173973178009332,0.0748867700952649
"immoral",112,4.96,5,0.2,0,25,22,0.04,0
"immoral",125,4.85185185185185,4.81818181818182,0.601517549056852,0.501081082343218,27,22,0.115762106290086,0.106830845707819
"immoral",126,4.85185185185185,4.85714285714286,0.601517549056852,0.358568582800318,27,21,0.115762106290086,0.0782460796435952
"immoral",127,4.84615384615385,5,0.612686392361227,0,26,22,0.120157687321641,0
"immoral",128,4.85185185185185,4.95454545454545,0.601517549056852,0.21320071635561,27,22,0.115762106290086,0.0454545454545455
"impossible",5,4.19230769230769,2.4,0.895286804068094,1.27320565172283,26,20,0.175580187854051,0.284697438658916
"impossible",6,4.44444444444444,3.16666666666667,1.13038833052088,1.47196014438797,9,6,0.376796110173626,0.600925212577332
"impossible",7,4.375,4.5,1.40788595317336,0.707106781186548,8,2,0.497762852313084,0.5
"impossible",8,4,3,1.4142135623731,2,5,3,0.632455532033676,1.15470053837925
"impossible",21,4.19047619047619,2.86666666666667,1.20909253653505,1.64171803158706,21,15,0.263845622422763,0.423889773033674
"impossible",22,3.44444444444444,3.9,1.13038833052088,1.19721899973786,9,10,0.376796110173626,0.378593889720018
"impossible",23,3.6,4.6,1.94935886896179,0.894427190999916,5,5,0.871779788708135,0.4
"impossible",24,4.66666666666667,4.5,0.887625364598595,0.836660026534076,12,6,0.256235371595269,0.341565025531987
"impossible",37,2.38888888888889,1.57894736842105,1.14475216371923,1.01739260823845,18,19,0.269820672581281,0.23340587185351
"impossible",38,4.55555555555556,4.83333333333333,1.0137937550497,0.389249472080761,9,12,0.337931251683234,0.112366643743874
"impossible",39,4.82608695652174,4.85,0.650326764931116,0.489360484929593,23,20,0.135602504335245,0.109424330980483
"impossible",40,4.57142857142857,3.66666666666667,0.786795792469443,1.4142135623731,7,9,0.29738085706659,0.471404520791032
"impossible",53,4.58333333333333,5,0.996204919895622,0,12,9,0.287579589334883,0
"impossible",54,4.23076923076923,4.75,1.48064435037847,0.707106781186548,13,8,0.410656855847358,0.25
"impossible",55,4.33333333333333,5,1.11803398874989,0,9,3,0.372677996249965,0
"impossible",56,4,3,1.4142135623731,1.75411603861406,13,14,0.392232270276368,0.468807230938495
"impossible",69,3.27272727272727,2.53846153846154,1.55505042303516,1.33012434352235,11,13,0.46886534393555,0.368910117177902
"impossible",70,3.91666666666667,4.1,1.67648622440092,0.994428926011753,12,10,0.483959886475286,0.31446603773522
"impossible",71,3.83333333333333,5,1.32916013582513,0,6,3,0.542627353203324,0
"impossible",72,4,4.25,1.51185789203691,1.48804761828569,8,8,0.534522483824849,0.526104280809151
"impossible",85,4.88888888888889,4.25,0.333333333333333,1.5,9,4,0.111111111111111,0.75
"impossible",86,3.25,4,1.48804761828569,1.4142135623731,8,4,0.526104280809151,0.707106781186548
"impossible",87,4.72727272727273,3.66666666666667,0.646669790682863,2.3094010767585,11,3,0.194978278086611,1.33333333333333
"impossible",88,4.72727272727273,3.875,0.646669790682863,1.35620268186054,11,8,0.194978278086611,0.479490056503484
"impossible",101,4.72727272727273,4.75,0.904534033733291,0.462910049886276,11,8,0.272727272727273,0.163663417676994
"impossible",102,4.36363636363636,5,1.02691063610494,0,11,5,0.309625206653207,0
"impossible",103,4.125,4.125,1.24642345475822,1.1259916264596,8,8,0.440677238544752,0.398098157314428
"impossible",104,4.6,3.5,0.894427190999916,2.12132034355964,5,2,0.4,1.5
"impossible",117,4.5,5,1.4142135623731,0,8,2,0.5,0
"impossible",118,4.44444444444444,4.4,1.0137937550497,0.894427190999916,9,5,0.337931251683234,0.4
"impossible",119,4,3.66666666666667,1.54919333848297,2.3094010767585,6,3,0.632455532033676,1.33333333333333
"impossible",120,4,2.5,1.54919333848297,1.73205080756888,6,4,0.632455532033676,0.866025403784439
"ordinary",1,1.11538461538462,1.18181818181818,0.431455497304005,0.664498639244989,26,22,0.0846153846153846,0.14167158590436
"ordinary",2,1.33333333333333,1.27272727272727,1.07417231105915,0.55048188256318,27,22,0.206724557648681,0.117363131703255
"ordinary",3,1.18518518518519,1.45454545454545,0.483340701387989,1.10096376512636,27,22,0.0930189613522194,0.23472626340651
"ordinary",4,1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623
"ordinary",17,1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0
"ordinary",18,1.11111111111111,1.27272727272727,0.423659272868162,0.88273482950475,27,22,0.0815332650783714,0.18819969800246
"ordinary",19,1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455
"ordinary",20,1.11111111111111,1.09090909090909,0.320256307610174,0.29424494316825,27,22,0.0616333551361366,0.0627332326674867
"ordinary",33,1.03703703703704,1.04545454545455,0.192450089729875,0.21320071635561,27,22,0.037037037037037,0.0454545454545455
"ordinary",34,1.33333333333333,1.27272727272727,0.784464540552736,0.88273482950475,27,22,0.150970271219279,0.18819969800246
"ordinary",35,1.39285714285714,1.18181818181818,0.994029797388005,0.852802865422442,28,22,0.187853974262613,0.181818181818182
"ordinary",36,1.28571428571429,1.22727272727273,0.809990528391941,0.869143978527871,28,22,0.153073821603063,0.185302118838307
"ordinary",49,1.37037037037037,1,1.07946383229924,0,27,22,0.207742911386144,0
"ordinary",50,1.2962962962963,1.18181818181818,0.608580619450185,0.852802865422442,27,22,0.117121394821051,0.181818181818182
"ordinary",51,1.25,1.09090909090909,0.645497224367903,0.29424494316825,28,22,0.121987509118567,0.0627332326674867
"ordinary",52,1.55555555555556,1,1.08604197869474,0,27,22,0.209008876250213,0
"ordinary",65,1.18518518518519,1.18181818181818,0.483340701387989,0.501081082343218,27,22,0.0930189613522194,0.106830845707819
"ordinary",66,2.85714285714286,2.13636363636364,1.6491139195267,1.35560404899895,28,22,0.311653236763045,0.289015754341141
"ordinary",67,1.19230769230769,1.40909090909091,0.40191847623425,0.908116360757433,26,22,0.0788226981996892,0.193611058647735
"ordinary",68,1.91666666666667,1.52380952380952,1.50120724365618,1.24976188208185,24,21,0.306432645427302,0.272720401205264
"ordinary",81,1.66666666666667,1.68181818181818,1.38675049056307,1.39339816332534,27,22,0.266880256341812,0.297073486589555
"ordinary",82,1.46428571428571,1.09090909090909,1.07089934019281,0.29424494316825,28,22,0.202380952380952,0.0627332326674867
"ordinary",83,1.46428571428571,1.04545454545455,0.922241346139448,0.21320071635561,28,22,0.174287232190458,0.0454545454545455
"ordinary",84,1.22222222222222,1.04545454545455,0.800640769025436,0.21320071635561,27,22,0.154083387840341,0.0454545454545455
"ordinary",97,1.14814814814815,1,0.601517549056852,0,27,22,0.115762106290086,0
"ordinary",98,1.40740740740741,1.63636363636364,1.08341551299083,1.176979772673,27,22,0.208503412689823,0.250932930669947
"ordinary",99,1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455
"ordinary",100,1.32142857142857,1.22727272727273,0.862965233777697,0.528413454806725,28,22,0.163085099905036,0.112658127096737
"ordinary",113,1.18518518518519,1.09090909090909,0.483340701387989,0.29424494316825,27,22,0.0930189613522194,0.0627332326674867
"ordinary",114,1.40740740740741,1.31818181818182,1.04731375282964,0.893700900022652,27,22,0.201555625707396,0.190537672092483
"ordinary",115,1.74074074074074,1.13636363636364,0.984205755246823,0.351250086657104,27,22,0.189410485909911,0.0748867700952649
"ordinary",116,1.74074074074074,1.31818181818182,0.984205755246823,0.56790036318955,27,22,0.189410485909911,0.121076764250623
