"","trialNo","target","condition1.x","condition3","mean","sd","N","se","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality"
"1",1,"<b>In the museum,</b><br> <br>you admire your favorite painting.","ordinary","fast",0.0617283950617284,0.242161052418926,81,0.0269067836021029,"ordinary",1.11538461538462,1.18181818181818,0.431455497304005,0.664498639244989,26,22,0.0846153846153846,0.14167158590436
"2",1,"<b>In the museum,</b><br> <br>you admire your favorite painting.","ordinary","slow",0.0357142857142857,0.188982236504614,28,0.0357142857142857,"ordinary",1.11538461538462,1.18181818181818,0.431455497304005,0.664498639244989,26,22,0.0846153846153846,0.14167158590436
"3",2,"<b>In the museum,</b><br> <br>you read the placard by an exhibit.","ordinary","fast",0.0921052631578947,0.291095932821575,76,0.0333909935274987,"ordinary",1.33333333333333,1.27272727272727,1.07417231105915,0.55048188256318,27,22,0.206724557648681,0.117363131703255
"4",2,"<b>In the museum,</b><br> <br>you read the placard by an exhibit.","ordinary","slow",0.0408163265306122,0.199914947901746,49,0.028559278271678,"ordinary",1.33333333333333,1.27272727272727,1.07417231105915,0.55048188256318,27,22,0.206724557648681,0.117363131703255
"5",3,"<b>In the museum,</b><br> <br>you discuss an exhibit with a friend.","ordinary","fast",0.141025641025641,0.35030076036261,78,0.0396637506001973,"ordinary",1.18518518518519,1.45454545454545,0.483340701387989,1.10096376512636,27,22,0.0930189613522194,0.23472626340651
"6",3,"<b>In the museum,</b><br> <br>you discuss an exhibit with a friend.","ordinary","slow",0.0571428571428571,0.235504107976803,35,0.0398074597725278,"ordinary",1.18518518518519,1.45454545454545,0.483340701387989,1.10096376512636,27,22,0.0930189613522194,0.23472626340651
"7",4,"<b>In the museum,</b><br> <br>you rest on a bench for a moment.","ordinary","fast",0.0666666666666667,0.251123601166961,75,0.0289972557467227,"ordinary",1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623
"8",4,"<b>In the museum,</b><br> <br>you rest on a bench for a moment.","ordinary","slow",0.0476190476190476,0.215540268704521,42,0.0332585855128371,"ordinary",1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623
"9",5,"<b>In the museum,</b><br> <br>you have a conversation with a painting.","impossible","fast",0.263888888888889,0.443832716728031,72,0.0523061872851398,"impossible",4.19230769230769,2.4,0.895286804068094,1.27320565172283,26,20,0.175580187854051,0.284697438658916
"10",5,"<b>In the museum,</b><br> <br>you have a conversation with a painting.","impossible","slow",0.566037735849057,0.500362713141644,53,0.0687301044560324,"impossible",4.19230769230769,2.4,0.895286804068094,1.27320565172283,26,20,0.175580187854051,0.284697438658916
"11",6,"<b>In the museum,</b><br> <br>you levitate above the other patrons.","impossible","fast",0.935897435897436,0.246520913458799,78,0.0279129968745746,"impossible",4.44444444444444,3.16666666666667,1.13038833052088,1.47196014438797,9,6,0.376796110173626,0.600925212577332
"12",6,"<b>In the museum,</b><br> <br>you levitate above the other patrons.","impossible","slow",1,0,31,0,"impossible",4.44444444444444,3.16666666666667,1.13038833052088,1.47196014438797,9,6,0.376796110173626,0.600925212577332
"13",7,"<b>In the museum,</b><br> <br>you transform into a very large seal.","impossible","fast",0.921052631578947,0.271448357015318,76,0.0311372620163138,"impossible",4.375,4.5,1.40788595317336,0.707106781186548,8,2,0.497762852313084,0.5
"14",7,"<b>In the museum,</b><br> <br>you transform into a very large seal.","impossible","slow",0.973684210526316,0.162221421130763,38,0.0263157894736842,"impossible",4.375,4.5,1.40788595317336,0.707106781186548,8,2,0.497762852313084,0.5
"15",8,"<b>In the museum,</b><br> <br>you teleport back to your apartment.","impossible","fast",0.961538461538462,0.193552415284691,78,0.0219154954730073,"impossible",4,3,1.4142135623731,2,5,3,0.632455532033676,1.15470053837925
"16",8,"<b>In the museum,</b><br> <br>you teleport back to your apartment.","impossible","slow",0.92,0.276887462097269,25,0.0553774924194538,"impossible",4,3,1.4142135623731,2,5,3,0.632455532033676,1.15470053837925
"17",9,"<b>In the museum,</b><br> <br>you ignore the guard and bring your bag.","abnormal","fast",0.347826086956522,0.479769765755401,69,0.0577574925352236,"abnormal",4.66666666666667,4.31818181818182,0.832050294337844,0.945483682534709,27,22,0.160128153805087,0.20157779841894
"18",9,"<b>In the museum,</b><br> <br>you ignore the guard and bring your bag.","abnormal","slow",0.235294117647059,0.427336319675891,68,0.0518221406966592,"abnormal",4.66666666666667,4.31818181818182,0.832050294337844,0.945483682534709,27,22,0.160128153805087,0.20157779841894
"19",10,"<b>In the museum,</b><br> <br>you crabwalk through the main exhibit.","abnormal","fast",0.591549295774648,0.495045879222534,71,0.0587511369425752,"abnormal",4.5,4,0.860232526704263,0.973328526784575,26,20,0.168705478457395,0.217642875033003
"20",10,"<b>In the museum,</b><br> <br>you crabwalk through the main exhibit.","abnormal","slow",0.298245614035088,0.461554527064391,57,0.061134390564664,"abnormal",4.5,4,0.860232526704263,0.973328526784575,26,20,0.168705478457395,0.217642875033003
"21",11,"<b>In the museum,</b><br> <br>you secretly adjust a painting.","abnormal","fast",0.318840579710145,0.469441270623243,69,0.0565140878376465,"abnormal",3.92592592592593,4,1.32798070902132,1.30930734141595,27,22,0.255570006610696,0.279145263119541
"22",11,"<b>In the museum,</b><br> <br>you secretly adjust a painting.","abnormal","slow",0.253968253968254,0.438775935480263,63,0.0552805717409761,"abnormal",3.92592592592593,4,1.32798070902132,1.30930734141595,27,22,0.255570006610696,0.279145263119541
"23",12,"<b>In the museum,</b><br> <br>you stand on a bench for a better view.","abnormal","fast",0.102564102564103,0.30535240827623,78,0.0345743519211919,"abnormal",4.28,3.45454545454545,1.02143689640297,1.14339814035152,25,22,0.204287379280594,0.243773302602616
"24",12,"<b>In the museum,</b><br> <br>you stand on a bench for a better view.","abnormal","slow",0.0847457627118644,0.280893622840437,59,0.0365692348590547,"abnormal",4.28,3.45454545454545,1.02143689640297,1.14339814035152,25,22,0.204287379280594,0.243773302602616
"25",13,"<b>In the museum,</b><br> <br>you rip a painting into small pieces.","immoral","fast",0.506666666666667,0.503322295684717,75,0.0581186525805423,"immoral",4.85185185185185,5,0.601517549056852,0,27,22,0.115762106290086,0
"26",13,"<b>In the museum,</b><br> <br>you rip a painting into small pieces.","immoral","slow",0.44,0.501426536422407,50,0.0709124208342335,"immoral",4.85185185185185,5,0.601517549056852,0,27,22,0.115762106290086,0
"27",14,"<b>In the museum,</b><br> <br>you steal your favorite sculpture.","immoral","fast",0.589041095890411,0.495412747064847,73,0.0579836762520561,"immoral",4.88888888888889,5,0.423659272868162,0,27,22,0.0815332650783714,0
"28",14,"<b>In the museum,</b><br> <br>you steal your favorite sculpture.","immoral","slow",0.51219512195122,0.506060827347474,41,0.0790334231513154,"immoral",4.88888888888889,5,0.423659272868162,0,27,22,0.0815332650783714,0
"29",15,"<b>In the museum,</b><br> <br>you break the arm of a security guard.","immoral","fast",0.569620253164557,0.498293094262482,79,0.0560623531469709,"immoral",4.92307692307692,5,0.271746488194703,0,26,22,0.0532938710021193,0
"30",15,"<b>In the museum,</b><br> <br>you break the arm of a security guard.","immoral","slow",0.404255319148936,0.496052875341062,47,0.0723567484441301,"immoral",4.92307692307692,5,0.271746488194703,0,26,22,0.0532938710021193,0
"31",16,"<b>In the museum,</b><br> <br>you throw an exhibit out the window.","immoral","fast",0.608108108108108,0.49150502910142,74,0.0571362990637523,"immoral",4.88,4.95238095238095,0.6,0.218217890235992,25,21,0.12,0.0476190476190476
"32",16,"<b>In the museum,</b><br> <br>you throw an exhibit out the window.","immoral","slow",0.568965517241379,0.499546073442513,58,0.0655936129528174,"immoral",4.88,4.95238095238095,0.6,0.218217890235992,25,21,0.12,0.0476190476190476
"33",17,"<b>In the restaurant,</b><br> <br> you wait in line for your food.","ordinary","fast",0.0337078651685393,0.181498697857036,89,0.0192388234952373,"ordinary",1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0
"34",17,"<b>In the restaurant,</b><br> <br> you wait in line for your food.","ordinary","slow",0,0,29,0,"ordinary",1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0
"35",18,"<b>In the restaurant,</b><br> <br> you make a salad at the salad bar.","ordinary","fast",0.0602409638554217,0.239379155844276,83,0.0262752758982037,"ordinary",1.11111111111111,1.27272727272727,0.423659272868162,0.88273482950475,27,22,0.0815332650783714,0.18819969800246
"36",18,"<b>In the restaurant,</b><br> <br> you make a salad at the salad bar.","ordinary","slow",0.105263157894737,0.311011747775905,38,0.0504527677125696,"ordinary",1.11111111111111,1.27272727272727,0.423659272868162,0.88273482950475,27,22,0.0815332650783714,0.18819969800246
"37",19,"<b>In the restaurant,</b><br> <br> you take a bite of your meal.","ordinary","fast",0.0238095238095238,0.153370994900858,84,0.0167341474653302,"ordinary",1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455
"38",19,"<b>In the restaurant,</b><br> <br> you take a bite of your meal.","ordinary","slow",0,0,25,0,"ordinary",1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455
"39",20,"<b>In the restaurant,</b><br> <br> you thank a dining hall employee.","ordinary","fast",0.109756097560976,0.314509124128206,82,0.0347317225419412,"ordinary",1.11111111111111,1.09090909090909,0.320256307610174,0.29424494316825,27,22,0.0616333551361366,0.0627332326674867
"40",20,"<b>In the restaurant,</b><br> <br> you thank a dining hall employee.","ordinary","slow",0,0,43,0,"ordinary",1.11111111111111,1.09090909090909,0.320256307610174,0.29424494316825,27,22,0.0616333551361366,0.0627332326674867
"41",21,"<b>In the restaurant,</b><br> <br> you eat one-hundred veggie pizzas.","impossible","fast",0.647058823529412,0.481437706401216,68,0.0583828975190388,"impossible",4.19047619047619,2.86666666666667,1.20909253653505,1.64171803158706,21,15,0.263845622422763,0.423889773033674
"42",21,"<b>In the restaurant,</b><br> <br> you eat one-hundred veggie pizzas.","impossible","slow",0.859375,0.350382444113368,64,0.0437978055141709,"impossible",4.19047619047619,2.86666666666667,1.20909253653505,1.64171803158706,21,15,0.263845622422763,0.423889773033674
"43",22,"<b>In the restaurant,</b><br> <br> you read the minds of fellow diners.","impossible","fast",0.833333333333333,0.375090176747726,78,0.0424705992864688,"impossible",3.44444444444444,3.9,1.13038833052088,1.19721899973786,9,10,0.376796110173626,0.378593889720018
"44",22,"<b>In the restaurant,</b><br> <br> you read the minds of fellow diners.","impossible","slow",0.864864864864865,0.346583496606691,37,0.0569779758588897,"impossible",3.44444444444444,3.9,1.13038833052088,1.19721899973786,9,10,0.376796110173626,0.378593889720018
"45",23,"<b>In the restaurant,</b><br> <br> you grow another head on your back.","impossible","fast",0.911392405063291,0.285992353211451,79,0.0321766536355566,"impossible",3.6,4.6,1.94935886896179,0.894427190999916,5,5,0.871779788708135,0.4
"46",23,"<b>In the restaurant,</b><br> <br> you grow another head on your back.","impossible","slow",0.971428571428571,0.169030850945703,35,0.0285714285714286,"impossible",3.6,4.6,1.94935886896179,0.894427190999916,5,5,0.871779788708135,0.4
"47",24,"<b>In the restaurant,</b><br> <br> you climb inside of a bowl of cereal.","impossible","fast",0.792682926829268,0.407879335765388,82,0.0450427375029666,"impossible",4.66666666666667,4.5,0.887625364598595,0.836660026534076,12,6,0.256235371595269,0.341565025531987
"48",24,"<b>In the restaurant,</b><br> <br> you climb inside of a bowl of cereal.","impossible","slow",0.978260869565217,0.147441956154897,46,0.0217391304347826,"impossible",4.66666666666667,4.5,0.887625364598595,0.836660026534076,12,6,0.256235371595269,0.341565025531987
"49",25,"<b>In the restaurant,</b><br> <br> you sit on the floor to eat your food.","abnormal","fast",0.28,0.45202248210053,75,0.0521950603441008,"abnormal",4.67857142857143,3.81818181818182,0.611832186419303,0.957992128229099,28,22,0.115625414955027,0.20424460800148
"50",25,"<b>In the restaurant,</b><br> <br> you sit on the floor to eat your food.","abnormal","slow",0.314814814814815,0.468803135819012,54,0.0637960262540699,"abnormal",4.67857142857143,3.81818181818182,0.611832186419303,0.957992128229099,28,22,0.115625414955027,0.20424460800148
"51",26,"<b>In the restaurant,</b><br> <br> you walk around the room barefoot.","abnormal","fast",0.272727272727273,0.448282207765424,77,0.0510864988135469,"abnormal",4.55555555555556,4.09090909090909,0.974021534011414,0.971454035826165,27,22,0.187450531619327,0.207114696344687
"52",26,"<b>In the restaurant,</b><br> <br> you walk around the room barefoot.","abnormal","slow",0.321428571428571,0.471251442520786,56,0.0629736228905634,"abnormal",4.55555555555556,4.09090909090909,0.974021534011414,0.971454035826165,27,22,0.187450531619327,0.207114696344687
"53",27,"<b>In the restaurant,</b><br> <br> you take an entire serving platter of food.","abnormal","fast",0.205128205128205,0.406408864529509,78,0.0460167423779546,"abnormal",3.71428571428571,2.86363636363636,1.51185789203691,1.52113536999598,28,22,0.285714285714286,0.324307150557
"54",27,"<b>In the restaurant,</b><br> <br> you take an entire serving platter of food.","abnormal","slow",0.119402985074627,0.32670940009765,67,0.0399139058759117,"abnormal",3.71428571428571,2.86363636363636,1.51185789203691,1.52113536999598,28,22,0.285714285714286,0.324307150557
"55",28,"<b>In the restaurant,</b><br> <br> you sit down at a random family's table.","abnormal","fast",0.191176470588235,0.396151370932671,68,0.0480404101790778,"abnormal",4.62962962962963,4,0.629294363562392,0.816496580927726,27,22,0.121107756734087,0.174077655955698
"56",28,"<b>In the restaurant,</b><br> <br> you sit down at a random family's table.","abnormal","slow",0.253968253968254,0.438775935480263,63,0.0552805717409761,"abnormal",4.62962962962963,4,0.629294363562392,0.816496580927726,27,22,0.121107756734087,0.174077655955698
"57",29,"<b>In the restaurant,</b><br> <br> you stab someone with a fork.","immoral","fast",0.542168674698795,0.501247342168663,83,0.0550190435849424,"immoral",4.76923076923077,4.90909090909091,0.815239464584109,0.426401432711221,26,22,0.159881613006358,0.0909090909090909
"58",29,"<b>In the restaurant,</b><br> <br> you stab someone with a fork.","immoral","slow",0.4,0.5,25,0.1,"immoral",4.76923076923077,4.90909090909091,0.815239464584109,0.426401432711221,26,22,0.159881613006358,0.0909090909090909
"59",30,"<b>In the restaurant,</b><br> <br> you steal plates for your kitchen.","immoral","fast",0.402439024390244,0.493407304203142,82,0.054487721579629,"immoral",4.85185185185185,4.68181818181818,0.601517549056852,0.945483682534709,27,22,0.115762106290086,0.20157779841894
"60",30,"<b>In the restaurant,</b><br> <br> you steal plates for your kitchen.","immoral","slow",0.395833333333333,0.49420399497827,48,0.0713322023838232,"immoral",4.85185185185185,4.68181818181818,0.601517549056852,0.945483682534709,27,22,0.115762106290086,0.20157779841894
"61",31,"<b>In the restaurant,</b><br> <br> you set fire to the pizza station.","immoral","fast",0.595238095238095,0.493793957788201,84,0.0538773378399109,"immoral",4.88888888888889,4.95454545454545,0.320256307610174,0.21320071635561,27,22,0.0616333551361366,0.0454545454545455
"62",31,"<b>In the restaurant,</b><br> <br> you set fire to the pizza station.","immoral","slow",0.42,0.49856938190329,50,0.0705083581671604,"immoral",4.88888888888889,4.95454545454545,0.320256307610174,0.21320071635561,27,22,0.0616333551361366,0.0454545454545455
"63",32,"<b>In the restaurant,</b><br> <br> you kill a dining hall employee.","immoral","fast",0.682926829268293,0.468199830200417,82,0.051704021757016,"immoral",4.875,5,0.612372435695794,0,24,22,0.125,0
"64",32,"<b>In the restaurant,</b><br> <br> you kill a dining hall employee.","immoral","slow",0.48936170212766,0.505291152639911,47,0.073704289683782,"immoral",4.875,5,0.612372435695794,0,24,22,0.125,0
"65",33,"<b>In the library,</b><br> <br> you ask the librarian for advice.","ordinary","fast",0.0561797752808989,0.231573204692959,89,0.0245467106040815,"ordinary",1.03703703703704,1.04545454545455,0.192450089729875,0.21320071635561,27,22,0.037037037037037,0.0454545454545455
"66",33,"<b>In the library,</b><br> <br> you ask the librarian for advice.","ordinary","slow",0,0,20,0,"ordinary",1.03703703703704,1.04545454545455,0.192450089729875,0.21320071635561,27,22,0.037037037037037,0.0454545454545455
"67",34,"<b>In the library,</b><br> <br> you read one book's inside cover.","ordinary","fast",0.0795454545454545,0.272138863686403,88,0.0290101003430715,"ordinary",1.33333333333333,1.27272727272727,0.784464540552736,0.88273482950475,27,22,0.150970271219279,0.18819969800246
"68",34,"<b>In the library,</b><br> <br> you read one book's inside cover.","ordinary","slow",0.0333333333333333,0.181020334719393,60,0.0233696247231033,"ordinary",1.33333333333333,1.27272727272727,0.784464540552736,0.88273482950475,27,22,0.150970271219279,0.18819969800246
"69",35,"<b>In the library,</b><br> <br> you check out three different books.","ordinary","fast",0.0989010989010989,0.300183094310606,91,0.0314677386006074,"ordinary",1.39285714285714,1.18181818181818,0.994029797388005,0.852802865422442,28,22,0.187853974262613,0.181818181818182
"70",35,"<b>In the library,</b><br> <br> you check out three different books.","ordinary","slow",0,0,33,0,"ordinary",1.39285714285714,1.18181818181818,0.994029797388005,0.852802865422442,28,22,0.187853974262613,0.181818181818182
"71",36,"<b>In the library,</b><br> <br> you drink from the water fountain.","ordinary","fast",0.116279069767442,0.322439402466035,86,0.0347695349579722,"ordinary",1.28571428571429,1.22727272727273,0.809990528391941,0.869143978527871,28,22,0.153073821603063,0.185302118838307
"72",36,"<b>In the library,</b><br> <br> you drink from the water fountain.","ordinary","slow",0.04,0.2,25,0.04,"ordinary",1.28571428571429,1.22727272727273,0.809990528391941,0.869143978527871,28,22,0.153073821603063,0.185302118838307
"73",37,"<b>In the library,</b><br> <br> you read every book in the building.","impossible","fast",0.475,0.502525268588178,80,0.0561840330487253,"impossible",2.38888888888889,1.57894736842105,1.14475216371923,1.01739260823845,18,19,0.269820672581281,0.23340587185351
"74",37,"<b>In the library,</b><br> <br> you read every book in the building.","impossible","slow",0.755555555555556,0.434613493680177,45,0.06478835438717,"impossible",2.38888888888889,1.57894736842105,1.14475216371923,1.01739260823845,18,19,0.269820672581281,0.23340587185351
"75",38,"<b>In the library,</b><br> <br> you make all the books disappear.","impossible","fast",0.8,0.402373908081478,85,0.0436435780471985,"impossible",4.55555555555556,4.83333333333333,1.0137937550497,0.389249472080761,9,12,0.337931251683234,0.112366643743874
"76",38,"<b>In the library,</b><br> <br> you make all the books disappear.","impossible","slow",0.914285714285714,0.284028640998691,35,0.0480096028809603,"impossible",4.55555555555556,4.83333333333333,1.0137937550497,0.389249472080761,9,12,0.337931251683234,0.112366643743874
"77",39,"<b>In the library,</b><br> <br> you melt your least favorite book.","impossible","fast",0.746835443037975,0.437602864987919,79,0.0492341688808472,"impossible",4.82608695652174,4.85,0.650326764931116,0.489360484929593,23,20,0.135602504335245,0.109424330980483
"78",39,"<b>In the library,</b><br> <br> you melt your least favorite book.","impossible","slow",0.823529411764706,0.385013368751849,51,0.0539126552347746,"impossible",4.82608695652174,4.85,0.650326764931116,0.489360484929593,23,20,0.135602504335245,0.109424330980483
"79",40,"<b>In the library,</b><br> <br> you exit, having aged seventeen years.","impossible","fast",0.78125,0.416666666666667,64,0.0520833333333333,"impossible",4.57142857142857,3.66666666666667,0.786795792469443,1.4142135623731,7,9,0.29738085706659,0.471404520791032
"80",40,"<b>In the library,</b><br> <br> you exit, having aged seventeen years.","impossible","slow",0.972602739726027,0.164367705983163,73,0.0192377848702657,"impossible",4.57142857142857,3.66666666666667,0.786795792469443,1.4142135623731,7,9,0.29738085706659,0.471404520791032
"81",41,"<b>In the library,</b><br> <br> you scream at the top of your lungs.","abnormal","fast",0.292134831460674,0.457320436470853,89,0.0484758693142688,"abnormal",4.81481481481481,4.5,0.681459803941116,0.672592709134549,27,22,0.131147000415771,0.143397247403047
"82",41,"<b>In the library,</b><br> <br> you scream at the top of your lungs.","abnormal","slow",0.193548387096774,0.401609664451249,31,0.0721312250806384,"abnormal",4.81481481481481,4.5,0.681459803941116,0.672592709134549,27,22,0.131147000415771,0.143397247403047
"83",42,"<b>In the library,</b><br> <br> you place cookbooks in the kid's section.","abnormal","fast",0.310810810810811,0.465984762984349,74,0.0541696283875289,"abnormal",4.26923076923077,3.86363636363636,0.87442288660315,1.12527053024318,26,22,0.171488436996984,0.239908483141703
"84",42,"<b>In the library,</b><br> <br> you place cookbooks in the kid's section.","abnormal","slow",0.144927536231884,0.35460675480613,69,0.0426896366873121,"abnormal",4.26923076923077,3.86363636363636,0.87442288660315,1.12527053024318,26,22,0.171488436996984,0.239908483141703
